Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.96.34-53.216.1.47-0-0-0,134.221.96.34,0,53.216.1.47,0,0,28/11/2023 08:29:43 AM,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,399999.99999999994,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,399999.99999999994,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.5-21.20.4.216-0-0-0,134.221.96.5,0,21.20.4.216,0,0,28/11/2023 08:29:44 AM,26228,618,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,23562.60484977886,42.508914100486166,227.77996260693135,2414.0,3.0,26228.0,42.508914100486166,227.77996260693135,2414.0,3.0,0,0,0,0,0,0,0,0,0,0,0,23562.60484977886,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.13-208.97.0.76-0-0-0,134.221.96.13,0,208.97.0.76,0,0,28/11/2023 08:29:43 AM,3891,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,771.0100231303007,1945.5,758.7255762131655,2482.0,1409.0,3891.0,1945.5,758.7255762131655,2482.0,1409.0,0,0,0,0,0,0,0,0,0,0,0,771.0100231303007,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
100.101.166.67-142.1.166.6-49459-53-17,100.101.166.67,49459,142.1.166.6,53,17,28/11/2023 08:29:42 AM,2155,1,1,33.0,179.0,33.0,33.0,33.0,0.0,179.0,179.0,179.0,0.0,98375.87006960557,928.0742459396753,2155.0,0.0,2155.0,2155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,464.03712296983764,464.03712296983764,33.0,179.0,81.66666666666666,84.29313930168536,7105.333333333333,0,0,0,0,0,0,0,0,1.0,122.5,33.0,179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.5-21.20.4.48-0-0-0,134.221.96.5,0,21.20.4.48,0,0,28/11/2023 08:29:44 AM,4961,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,403.1445273130417,4961.0,0.0,4961.0,4961.0,4961.0,4961.0,0.0,4961.0,4961.0,0,0,0,0,0,0,0,0,0,0,0,403.1445273130417,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.0-77.36.4.216-0-0-0,134.221.96.0,0,77.36.4.216,0,0,28/11/2023 08:29:44 AM,42,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,214285.7142857143,5.25,1.5811388300841895,9.0,4.0,42.0,5.25,1.5811388300841895,9.0,4.0,0,0,0,0,0,0,0,0,0,0,0,214285.7142857143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
100.101.166.67-142.1.166.6-51931-53-17,100.101.166.67,51931,142.1.166.6,53,17,28/11/2023 08:29:43 AM,360910,1,1,29.0,109.0,29.0,29.0,29.0,0.0,109.0,109.0,109.0,0.0,382.3667950458563,5.541547754287772,360910.0,0.0,360910.0,360910.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.770773877143886,2.770773877143886,29.0,109.0,55.66666666666667,46.188021535170066,2133.3333333333335,0,0,0,0,0,0,0,0,1.0,83.5,29.0,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
100.101.166.67-142.1.166.6-51578-53-17,100.101.166.67,51578,142.1.166.6,53,17,28/11/2023 08:29:41 AM,221460,1,1,43.0,59.0,43.0,43.0,43.0,0.0,59.0,59.0,59.0,0.0,460.5797886751558,9.030976248532466,221460.0,0.0,221460.0,221460.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4.515488124266233,4.515488124266233,43.0,59.0,48.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,72.5,43.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
100.101.166.67-142.1.166.6-62268-53-17,100.101.166.67,62268,142.1.166.6,53,17,28/11/2023 08:29:42 AM,1557,1,1,33.0,147.0,33.0,33.0,33.0,0.0,147.0,147.0,147.0,0.0,115606.93641618497,1284.5215157353887,1557.0,0.0,1557.0,1557.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,642.2607578676943,642.2607578676943,33.0,147.0,71.0,65.81793068761733,4332.0,0,0,0,0,0,0,0,0,1.0,106.5,33.0,147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
100.101.166.67-142.1.166.6-54350-53-17,100.101.166.67,54350,142.1.166.6,53,17,28/11/2023 08:29:43 AM,361455,1,1,29.0,141.0,29.0,29.0,29.0,0.0,141.0,141.0,141.0,0.0,470.32134013915976,5.533192236931291,361455.0,0.0,361455.0,361455.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.7665961184656456,2.7665961184656456,29.0,141.0,66.33333333333334,64.66323014923809,4181.333333333334,0,0,0,0,0,0,0,0,1.0,99.5,29.0,141.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
